date,price,spot_change_pct,source_fear_greed,audited_market_fng,fear_change_5d,fear_coverage,macro_anchor,macro_divergence_pct,macro_origin_quarter,macro_target_quarter,macro_release_date,pred_1,forecast_price_1d,pred_5,forecast_price_5d,pred_20,forecast_price_20d,pivot_p,pivot_r1,pivot_s1,pivot_r2,pivot_s2,trend_score,vol_ratio,raw_signal_sigma,after_cost_signal_sigma,agreeing_horizons,regime,position,target_position,turnover,cost_bps,actual_next_close_return_pct,net_return_pct,cap_reason
2026-09-01,159.746994,0,53.65685138,49.7493231,21.89007315,1,163.0619159,2.075107511,2026Q2,2026Q3,2026-07-01,0.08362027952,159.7902254,0.1203561964,159.8861721,0.07283361111,159.9154568,151.7206624,163.5493266,144.5843302,170.6856588,132.7556661,0.5,0.7026825473,0.09399997891,0.05781779952,3,trend,0,0,0,2.5,0.281072661,0,entry_band
2026-09-02,160.1959991,0.281072661,54.93530896,51.89061806,23.19255673,1,163.0619159,1.789006442,2026Q2,2026Q3,2026-07-01,0.08241996056,160.2391533,0.1211743054,160.3379113,0.07692522528,160.3762011,151.7206624,163.5493266,144.5843302,170.6856588,132.7556661,0.5,0.7096489833,0.09572380439,0.05989681587,3,trend,0,0,0,2.5,-0.7946484324,-0,entry_band
2026-09-03,158.9230041,-0.5158093109,51.09909565,46.31527794,16.15283666,1,163.0619159,2.604350304,2026Q2,2026Q3,2026-07-01,0.06300467172,158.9608609,0.08526896877,159.0375955,0.07681588357,159.1295267,151.7206624,163.5493266,144.5843302,170.6856588,132.7556661,0,0.8209112737,0.07743487528,0.04708903718,3,range,0,0,0,2.5,-2.053195826,-0,entry_band
2026-09-04,155.6600037,-2.558414562,32.45697591,26.53846306,-13.65780967,1,163.0619159,4.755179272,2026Q2,2026Q3,2026-07-01,0.02180081512,155.6797656,0.03317750507,155.7272627,0.1299911727,156.1878317,151.7206624,163.5493266,144.5843302,170.6856588,132.7556661,0,1.262600676,0.06962763412,0.05374740375,3,range,0,0,0,2.5,0.3449842936,0,entry_band
2026-09-07,156.1970062,-2.222256397,32.30090432,26.90683591,-26.57221027,1,163.0619159,4.395032806,2026Q2,2026Q3,2026-07-01,-0.006347308771,156.1911881,-0.01213332971,156.1721386,0.1170410444,156.6775403,151.7206624,163.5493266,144.5843302,170.6856588,132.7556661,0,1.271795427,0.04069362413,0.04300616436,1,range,0,0,0,2.5,-1.499395254,-0,no_agreement
2026-09-08,153.8549957,-3.688331244,27.21600905,17.93869671,-31.81062639,1,163.0619159,5.984154183,2026Q2,2026Q3,2026-07-01,-0.02173113834,153.8338276,-0.04785618935,153.7507866,0.09167437851,154.2549004,151.7206624,163.5493266,144.5843302,170.6856588,132.7556661,0,1.371109015,0.013181048,0.02105883818,1,overheat,0,0,0,2.5,-0.2450352036,-0,no_agreement
2026-09-09,153.4779968,-3.924328737,26.31532291,16.19882028,-35.69179778,1,163.0619159,6.244490587,2026Q2,2026Q3,2026-07-01,-0.03067384366,153.4482955,-0.06944854201,153.3276877,0.07904826853,153.8207187,151.7206624,163.5493266,144.5843302,170.6856588,132.7556661,0,1.360350437,-0.002294878126,0.007383787629,1,overheat,0,0,0,2.5,0.06189891904,0,no_agreement
2026-09-10,153.572998,-3.864858935,28.03550132,14.74029222,-31.57498573,1,163.0619159,6.178767078,2026Q2,2026Q3,2026-07-01,-0.0208673766,153.5527658,-0.05460050046,153.4546614,0.09615864966,153.9905381,151.7206624,163.5493266,144.5843302,170.6856588,132.7556661,0,1.354795645,0.01244978436,0.02016482137,1,overheat,0,0,0,2.5,0.591898702,0,no_agreement
2026-09-11,154.4819946,-3.295836283,30.06494564,17.32320685,-9.215256208,1,163.0619159,5.553994356,2026Q2,2026Q3,2026-07-01,0.03387615355,154.5161107,0.04665464087,154.5870804,0.1816670528,155.3022669,151.7206624,163.5493266,144.5843302,170.6856588,132.7556661,0,1.396920604,0.09810390816,0.08103743635,3,overheat,0,0,0,2.5,-0.6848685891,-0,entry_band
2026-09-14,153.423996,-3.958132725,27.9040729,13.75238431,-13.1544516,1,163.0619159,6.281885606,2026Q2,2026Q3,2026-07-01,0.02301185484,153.4473661,0.01399777246,153.4557841,0.1570704774,154.1389782,151.7206624,163.5493266,144.5843302,170.6856588,132.7556661,0,1.415521292,0.07302967093,0.05944985685,3,overheat,0,0,0,2.5,0.6263678174,0,entry_band
2026-09-15,154.3849945,-3.356557377,28.61493428,14.82557638,-3.113120322,1,163.0619159,5.620313951,2026Q2,2026Q3,2026-07-01,0.01621155633,154.402095,0.0085874676,154.4052498,0.1679947582,155.1794803,151.7206624,163.5493266,144.5843302,170.6856588,132.7556661,-0.5,1.457763223,0.0738752016,0.0639250255,3,overheat,0,0,0,2.5,0.570659063,0,entry_band
2026-09-16,155.2660065,-2.805052813,29.80690664,15.66890492,-0.529915366,1,163.0619159,5.021002084,2026Q2,2026Q3,2026-07-01,0.01251615909,155.27959,0.008276048295,155.2860908,0.1791245142,156.1377899,151.7206624,163.5493266,144.5843302,170.6856588,132.7556661,-0.5,1.48768462,0.07746345682,0.06845062185,3,overheat,0,0,0,2.5,0.4817545804,0,entry_band
2026-09-17,156.0140076,-2.336811703,31.60912084,19.81504287,5.074750657,1,163.0619159,4.517484316,2026Q2,2026Q3,2026-07-01,0.01872875926,156.0342798,0.01682324022,156.0547282,0.1851815264,156.9129348,151.7206624,163.5493266,144.5843302,170.6856588,132.7556661,-0.5,1.473109932,0.08454765851,0.07113235881,3,overheat,0,0,0,2.5,0.07370507097,0,entry_band
2026-09-18,156.1289978,-2.26482898,33.46164884,21.11894501,3.79573816,1,163.0619159,4.440506367,2026Q2,2026Q3,2026-07-01,0.01304314574,156.1429856,-0.0003368063202,156.1281902,0.1803300836,156.9962251,151.7206624,163.5493266,144.5843302,170.6856588,132.7556661,-0.5,1.456340589,0.07460594005,0.06887649983,2,overheat,0,0,0,2.5,0.4649987736,0,entry_band
2026-09-19,156.8549957,-1.810361634,33.85328743,21.96749558,8.215111268,1,163.0619159,3.957107094,2026Q2,2026Q3,2026-07-01,0.04551738498,156.9047741,0.05819217948,156.9973402,0.2323749449,157.9954356,151.7206624,163.5493266,144.5843302,170.6856588,132.7556661,0,1.476162796,0.1253303268,0.1085347637,3,overheat,0,0,0,2.5,,,entry_band
