ablation,horizon,n,rmse,mae,bias,direction_accuracy,rw_rmse,rw_mae,rmse_improvement_pct_vs_rw,mae_improvement_pct_vs_rw,dm_pvalue_vs_rw,strategy_sharpe,strategy_cumulative_return,strategy_max_drawdown
without_fng,1,1486.0,1.0914216481106742,0.7924847346727601,-0.03401820909310233,0.5387727579231288,1.0877358302232472,0.7931480615745847,-0.3388523008082345,0.08363216579104771,0.024900185746574446,,,
without_fng,5,1482.0,1.1479709637534004,0.84025436769418,-0.08677315949269385,0.5415259959486833,1.1288200717571937,0.834503079538906,-1.6965407043476155,-0.6891871697408014,0.03781298073623968,,,
without_fng,20,1446.0,1.2718807628302862,0.9290097251802353,-0.1450620938177029,0.5373443983402489,1.2368530188316453,0.9187799515520805,-2.8320053769791187,-1.113408451161102,0.11374211992045938,,,
without_fng,0,,,,,,,,,,,-0.1902617062703295,-0.008761480856882997,0.02842093639142429
without_ma,1,1486.0,1.090414678856906,0.7923710029591938,-0.034191497943866944,0.5441672285906946,1.0877358302232472,0.7931480615745847,-0.24627750224142098,0.09797144480795383,0.1003094877220481,,,
without_ma,5,1482.0,1.1453741311874253,0.8376772929694964,-0.08453778106314977,0.5577312626603647,1.1288200717571937,0.834503079538906,-1.4664922997393637,-0.38037168566762425,0.07099134186526593,,,
without_ma,20,1446.0,1.2688442629228447,0.9245327034319933,-0.12698353746441718,0.5650069156293223,1.2368530188316453,0.9187799515520805,-2.586503295389031,-0.6261294524542826,0.17724769788101552,,,
without_ma,0,,,,,,,,,,,-0.41917796483429126,-0.016702532606848952,0.02767154909589331
without_pivot,1,1486.0,1.0898491345047605,0.7917893628407486,-0.028484100903705272,0.5367498314227916,1.0877358302232472,0.7931480615745847,-0.19428469880224952,0.17130455203265837,0.1793935464283395,,,
without_pivot,5,1482.0,1.1447080408598682,0.8374896452189825,-0.06638658206144765,0.5496286293045239,1.1288200717571937,0.834503079538906,-1.4074846381799677,-0.3578855193352437,0.05819790681046419,,,
without_pivot,20,1446.0,1.2664815343503653,0.9176890712920437,-0.11162237805304419,0.5650069156293223,1.2368530188316453,0.9187799515520805,-2.395475862338725,0.11873139571602076,0.18085428553254654,,,
without_pivot,0,,,,,,,,,,,-0.2572277361315187,-0.011098121179804354,0.02754464247092947
without_macro,1,1486.0,1.0921239279915809,0.793380765674485,-0.0362269924608791,0.5252865812542145,1.0877358302232472,0.7931480615745847,-0.4034157601881194,-0.029339301345365776,0.012004211329150081,,,
without_macro,5,1482.0,1.1483676049491767,0.8410813812349238,-0.08855667508760921,0.5273463875759622,1.1288200717571937,0.834503079538906,-1.7316783853386086,-0.7882896848808052,0.007587391022861427,,,
without_macro,20,1446.0,1.2732533522974456,0.9402513187942788,-0.16886590728398476,0.4785615491009682,1.2368530188316453,0.9187799515520805,-2.9429797163922355,-2.336943378654177,0.03632569854157129,,,
without_macro,0,,,,,,,,,,,-0.5250973458995971,-0.01931277836419021,0.028088047621243173
