bias,direction_accuracy,dm_newey_west_lag,dm_normal_p_vs_rw,end,first_half_rmse_improvement_pct,historical_screen_failures,holm_adjusted_dm_p,mae,mae_improvement_pct_vs_rw,model,n,paired_rw_rmse,passes_historical_screen,rmse,rmse_improvement_pct_vs_rw,second_half_rmse_improvement_pct,start,valid_historical_realtime_candidate
-2.3730769230769244,,1,1.0,2026Q2,0.0,"['benchmark_not_candidate', 'rmse_improvement_below_threshold', 'mae_not_improved', 'holm_p_unavailable']",,6.231538461538465,0.0,random_walk,26,7.7882050859962915,False,7.7882050859962915,0.0,0.0,2020Q1,True
-2.6710087091371344,0.2,1,0.46314325311518717,2026Q2,-3.0552264928102395,"['rmse_improvement_below_threshold', 'mae_not_improved', 'first_half_not_improved', 'holm_p_above_threshold']",1.0,6.4517984880174835,-0.2517012868649512,fair_value_convergence,25,7.939225906850116,False,8.027283104187132,-1.1091408453441118,0.0,2020Q2,True
-2.308305810050764,0.68,1,0.3924997346998537,2026Q2,0.3825776009700286,"['rmse_improvement_below_threshold', 'holm_p_above_threshold']",1.0,5.979449179219715,7.087929964265759,change_ridge,25,7.939225906850116,False,7.582726214144104,4.490358340835437,6.875872142662193,2020Q2,True
-2.3772820284749594,0.6,1,0.7590475601950739,2026Q2,-2.2696591993288657,"['rmse_improvement_below_threshold', 'first_half_not_improved', 'holm_p_above_threshold']",1.0,6.192732092215854,3.773819189883594,policy_3m_ridge,25,7.939225906850116,False,7.813428287326075,1.5845073688544464,3.815922935013027,2020Q2,True
-1.904005533513798,0.46153846153846156,1,0.9982844019412795,2026Q2,-20.091270292572077,"['rmse_improvement_below_threshold', 'first_half_not_improved', 'holm_p_above_threshold']",1.0,5.9028695299855904,5.274282323401264,dynamic_two_factor,26,7.7882050859962915,False,7.790598623934387,-0.030732857078959452,13.273270468985114,2020Q1,True
-2.4112531266559905,0.56,1,0.3436365132773122,2026Q2,-3.051016622019305,"['rmse_improvement_below_threshold', 'first_half_not_improved', 'holm_p_above_threshold']",1.0,6.151378057003269,4.4164016252833225,rw_floor_ensemble,25,7.939225906850116,False,7.641277422052556,3.752865686067511,7.792384040658816,2020Q2,True
-2.114490018958386,0.64,1,0.8250755643201636,2026Q2,-0.5412430042768073,"['diagnostic_only_not_historical_realtime', 'rmse_improvement_below_threshold', 'first_half_not_improved', 'holm_p_unavailable']",,6.071751121118239,5.653690081449494,two_year_spread_ridge_semi_strict,25,7.939225906850116,False,7.840664789394472,1.2414449294181693,2.2565049209703423,2020Q2,False
